actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_loss,duration,episode,episode_reward,step
1.9643625488023242,-0.756874024539529,-3.0,0.4842075477979465,0.09755998965728314,-0.03587554942607461,0.45586283127313015,103.60032391548157,2.0,-35.175080906149354,7992
2.015824200630188,-1.3572614622116088,-3.0,0.46587887954711915,0.09288198263558427,-0.043896495635892534,0.3807836207005338,102.40155792236328,3.0,-51.7518518518526,11988
2.010086708173962,-1.8149061257949095,-3.0,0.44352884360688005,0.08852621818772566,-0.043888116963916236,0.3894315929165123,102.17010235786438,4.0,-49.90000000000077,15984
2.002990979194641,-2.2654988107681273,-3.0,0.42246884500980375,0.08444355230732997,-0.044261192945806355,0.38695923222969564,102.15827107429504,5.0,-37.85620437956266,19980
2.004270894732886,-2.638972861972266,-3.0,0.40330650231881227,0.08059146675118752,-0.040795507069837464,0.41642060087682836,102.37038254737854,6.0,-43.978947368421736,23976
2.0167807564735414,-2.9651921558380128,-3.0,0.38601243114471434,0.07694421886962301,-0.04389766539942037,0.39176030007900214,102.50698232650757,7.0,-48.04814814814855,27972
2.0112855869209123,-3.2375626124456556,-3.0,0.3682456509861535,0.07348315246095996,-0.04282449806916403,0.38983808527048025,102.55125284194946,8.0,-37.83103448275917,31968
1.9998009107112884,-3.484807369709015,-3.0,0.3509829906225205,0.07019978967674054,-0.04454482799103191,0.3791521849532335,102.56804609298706,9.0,-47.61241830065426,35964
1.9981436492923743,-3.664412938999031,-3.0,0.33525291234553456,0.06707468057513681,-0.0412446331974861,0.39657722366530934,102.52341890335083,10.0,-41.26807817589643,39960
2.0172875685691833,-3.7486330347061156,-3.0,0.3215689425468445,0.06409280129211546,-0.04559125413221342,0.386374505884662,102.79820322990417,11.0,-36.70297397769569,43956
2.018721858102955,-3.7429364367811857,-3.0,0.30735975778652336,0.061242127222299964,-0.04665316659602914,0.41333930049505496,102.62454724311829,12.0,-50.88039215686339,47952
2.022262938261032,-3.8175313901901244,-3.0,0.2939231466650963,0.05852434196696026,-0.04207333033201513,0.4357668157700483,102.4658751487732,13.0,-47.09471947194789,51948
